date,balance,perfectBalance,unrealizedPL,unrealizedPLPerc,NAV,marginUsed,marginAvail,openTrades,openOrders,profitableTradeCount,unprofitableTradeCount
"Wed Jan 11 4:00:00 CST 2012",100.0000,100.0000,-0.5619,-0.5619,99.4381,2.9000,96.5381,1,0,0,0
"Wed Jan 11 5:00:00 CST 2012",100.0000,100.0000,-0.4679,-0.4679,99.5321,2.9000,96.6321,1,0,0,0
"Wed Jan 11 6:00:00 CST 2012",100.0000,100.0000,-0.3277,-0.3277,99.6723,2.9000,96.7723,1,0,0,0
"Wed Jan 11 7:00:00 CST 2012",100.0000,100.0000,-0.3870,-0.3870,99.6130,2.9000,96.7130,1,0,0,0
"Wed Jan 11 8:00:00 CST 2012",100.0000,100.0000,-0.3157,-0.3157,99.6843,2.9000,96.7843,1,0,0,0
"Wed Jan 11 9:00:00 CST 2012",100.0000,100.0000,-0.0077,-0.0077,99.9923,2.9000,97.0923,1,0,0,0
"Wed Jan 11 10:00:00 CST 2012",100.0000,100.0000,0.0153,0.0153,100.0153,2.9000,97.1153,1,0,0,0
"Wed Jan 11 11:00:00 CST 2012",100.0000,100.0000,-0.1238,-0.1238,99.8762,2.9000,96.9762,1,0,0,0
"Wed Jan 11 12:00:00 CST 2012",100.0000,100.0000,-0.0597,-0.0597,99.9403,2.9000,97.0403,1,0,0,0
"Wed Jan 11 13:00:00 CST 2012",100.0000,100.0000,-0.1084,-0.1084,99.8916,2.9000,96.9916,1,0,0,0
"Wed Jan 11 14:00:00 CST 2012",100.0000,100.0000,-0.0836,-0.0836,99.9164,2.9000,97.0164,1,0,0,0
"Wed Jan 11 15:00:00 CST 2012",100.0000,100.0000,-0.1212,-0.1212,99.8788,2.9000,96.9788,1,0,0,0
"Wed Jan 11 16:00:00 CST 2012",100.0000,100.0000,-0.1084,-0.1084,99.8916,2.9000,96.9916,1,0,0,0
